은행명(1),ⓐ지로코드(2),지로코드 수정,특/광/도(9),구/시/군(10),구/읍/면/동(11),도로명(19),건물번호 등(20),결합주소_temp,결합주소,depth_1,depth_2,depth_3,From_금결
우리은행,204149,0204149,서울,서초구,서초동,반보대로,22,서울 서초구 반보대로,서울 서초구 반보대로 22,서울,서초구,서초동,서울　서초구　서초동　１４５１－３４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,204178,0204178,서울,강남구,대치동,남부순환로,3032,서울 강남구 남부순환로,서울 강남구 남부순환로 3032,서울,강남구,대치동,서울　강남구　대치동　５１１　미도종합상가　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,204181,0204181,서울,마포구,대흥동,독막로,241,서울 마포구 독막로,서울 마포구 독막로 241,서울,마포구,염리동,서울특별시　마포구　백범로　１３４－１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,204990,0204990,경기,오산,오산동,성로대로,121,경기 오산 성로대로,경기 오산 성로대로 121,경기,오산시,오산동,경기　　　오산시　오산동　９２５－５　월드타워１층　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,205229,0205229,서울,동대문구,전농동,전옹로,145,서울 동대문구 전옹로,서울 동대문구 전옹로 145,NAN,NAN,NAN,서울　동대문구　전농４동　２９５－５３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,205355,0205355,서울,광진구,구의도,광나루로56길,509,서울 광진구 광나루로56길,서울 광진구 광나루로56길 509,서울,중구,만리동1가,서울　중구　만리동１가　３８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,206286,0206286,부산,해운대구,중동,중동2로,12월 01일,부산 해운대구 중동2로,부산 해운대구 중동2로 44896,부산,해운대구,중동,부산　해운대구　중동　１３７８－２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,206370,0206370,부산,강서구,송정동,녹산산단335로,12월 05일,부산 강서구 녹산산단335로,부산 강서구 녹산산단335로 44900,부산,강서구,송정동,부산　강서구　송정동　１６３１－４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,206545,0206545,경기,파주,교하읍,창석로,260,경기 파주 창석로,경기 파주 창석로 260,NAN,NAN,NAN,경기　파주시　교하읍　동패리　３０１２－３　트리플메디칼타워　　　　　　　　　　　　　　　　　　　　
우리은행,206778,0206778,인천,계양구,작전2동,게양대로,94,인천 계양구 게양대로,인천 계양구 게양대로 94,인천,계양구,작전동,인천　계양구　작전２동　８６３－３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,206875,0206875,경기,용인,풍덕천동,정평로,Feb-34,경기 용인 정평로,경기 용인 정평로 12451,서울,송파구,석촌동,서울　송파구　석촌동　１７４－１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,207052,0207052,대구,서구,평리5동,서대구광역시로,141,대구 서구 서대구광역시로,대구 서구 서대구광역시로 141,대구,서구,평리동,대구　서구　평리５동　１５２４－１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,207476,0207476,경기,군포,산본동,고산로,1151-5,경기 군포 고산로,경기 군포 고산로 1151-5,경기,포천시,소흘읍 송우리,경기　포천군　소흘읍　송우리１４６－１번지　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,207515,0207515,서울,동대문구,청량1동,왕산로,239,서울 동대문구 왕산로,서울 동대문구 왕산로 239,서울,관악구,신림동,서울　관악구　신림２동　１６９４　신림현대ＡＰＴ　상가내　　　　　　　　　　　　　　　　　　　　　　
우리은행,207670,0207670,경기,분당,구미동,무기재로,144,경기 분당 무기재로,경기 분당 무기재로 144,경기,성남시 분당구,구미동,경기　성남시　분당구　구미동　２２１　청구Ａ상가　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,207764,0207764,서울,중구,남대문로4가,남대문시장길,08월 25일,서울 중구 남대문시장길,서울 중구 남대문시장길 44798,서울,중구,남창동,서울　중구　남창동　３１－１　은남빌딩　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,208459,0208459,서울,동대문구,회기동,경희대로,01월 01일,서울 동대문구 경희대로,서울 동대문구 경희대로 44562,서울,서초구,양재동,서울　서초구　양재동　３９２－６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,208860,0208860,충북,청원,오창면,중심산업로,20,충북 청원 중심산업로,충북 청원 중심산업로 20,충북,청주시 청원구,오창읍 양청리,충북　청원군　오창면　양청리　８１８－４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,209306,0209306,서울,강동구,둔촌동,진황도로61길,195,서울 강동구 진황도로61길,서울 강동구 진황도로61길 195,서울,영등포구,여의도동,서울　영등포구　여의도동　３４　삼덕빌딩　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,209775,0209775,경기,고양,장항동,무궁화로,12024,경기 고양 무궁화로,경기 고양 무궁화로 12024,경기,고양시 일산동구,장항동,경기도　고양시　일산구　장항동　７６３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
