은행명(1),ⓐ지로코드(2),특/광/도(9),구/시/군(10),구/읍/면/동(11),도로명(19),건물번호 등(20),결합주소_temp,결합주소,depth_1,depth_2,depth_3
SC제일은행,233589,서울특별시,영등포구,여의도동,여의대로,128,서울특별시 영등포구 여의대로,서울특별시 영등포구 여의대로 128,서울,영등포구,여의도동
SC제일은행,233602,서울특별시,영등포구,대림3동,대림로,157,서울특별시 영등포구 대림로,서울특별시 영등포구 대림로 157,서울,영등포구,대림동
SC제일은행,233615,서울특별시,구로구,구로동,구로중앙로,212,서울특별시 구로구 구로중앙로,서울특별시 구로구 구로중앙로 212,서울,구로구,구로동
SC제일은행,233631,경기도,광명시,소하동,기아로,113,경기도 광명시 기아로,경기도 광명시 기아로 113,경기,광명시,소하동
SC제일은행,233754,서울특별시,서초구,반포동,신반포로,45,서울특별시 서초구 신반포로,서울특별시 서초구 신반포로 45,서울,서초구,반포동
SC제일은행,233767,서울특별시,관악구,신림동,남부순환로,1469,서울특별시 관악구 남부순환로,서울특별시 관악구 남부순환로 1469,서울,관악구,신림동
SC제일은행,233770,서울특별시,관악구,봉천동,남부순환로,1811,서울특별시 관악구 남부순환로,서울특별시 관악구 남부순환로 1811,서울,관악구,봉천동
SC제일은행,233783,서울특별시,서초구,방배동,방배로,245,서울특별시 서초구 방배로,서울특별시 서초구 방배로 245,서울,서초구,방배동
SC제일은행,233796,서울특별시,동작구,사당동,동작대로,13,서울특별시 동작구 동작대로,서울특별시 동작구 동작대로 13,서울,동작구,사당동
SC제일은행,233806,서울특별시,서초구,잠원동,신반포로,257,서울특별시 서초구 신반포로,서울특별시 서초구 신반포로 257,서울,서초구,잠원동
SC제일은행,233819,서울특별시,관악구,봉천동,은천로,27,서울특별시 관악구 은천로,서울특별시 관악구 은천로 27,서울,관악구,봉천동
SC제일은행,233822,서울특별시,동작구,상도동,상도로,102,서울특별시 동작구 상도로,서울특별시 동작구 상도로 102,서울,동작구,상도동
SC제일은행,233851,서울특별시,서초구,반포동,서래로,23,서울특별시 서초구 서래로,서울특별시 서초구 서래로 23,서울,서초구,반포동
SC제일은행,234009,서울특별시,강서구,화곡동,강서로,162,서울특별시 강서구 강서로,서울특별시 강서구 강서로 162,서울,강서구,화곡동
SC제일은행,234012,서울특별시,양천구,목3동,등촌로,216,서울특별시 양천구 등촌로,서울특별시 양천구 등촌로 216,서울,양천구,목동
SC제일은행,234025,서울특별시,양천구,목동,등촌로,30,서울특별시 양천구 등촌로,서울특별시 양천구 등촌로 30,서울,양천구,목동
SC제일은행,234038,서울특별시,양천구,신월동,오목로,53,서울특별시 양천구 오목로,서울특별시 양천구 오목로 53,NAN,NAN,NAN
SC제일은행,234041,서울특별시,양천구,신정동,목동로,189,서울특별시 양천구 목동로,서울특별시 양천구 목동로 189,서울,양천구,신정동
SC제일은행,234054,서울특별시,양천구,목동,목동동로,350,서울특별시 양천구 목동동로,서울특별시 양천구 목동동로 350,서울,양천구,목동
SC제일은행,234083,서울특별시,양천구,신정동,목동서로,340,서울특별시 양천구 목동서로,서울특별시 양천구 목동서로 340,서울,양천구,신정동
SC제일은행,234096,서울특별시,강서구,공항동,공항대로,38,서울특별시 강서구 공항대로,서울특별시 강서구 공항대로 38,서울,강서구,공항동
SC제일은행,234119,경기도,하남시,신장동,미사대로,750,경기도 하남시 미사대로,경기도 하남시 미사대로 750,경기,하남시,신장동
SC제일은행,234122,서울특별시,양천구,목동,오목로,299,서울특별시 양천구 오목로,서울특별시 양천구 오목로 299,서울,양천구,목동
SC제일은행,234135,대구광역시,동구,신천동,동부로,153,대구광역시 동구 동부로,대구광역시 동구 동부로 153,NAN,NAN,NAN
SC제일은행,234148,서울특별시,서초구,서초동,서초대로74길,11,서울특별시 서초구 서초대로74길,서울특별시 서초구 서초대로74길 11,서울,서초구,서초동
SC제일은행,234151,경기도,용인시 수지구,죽전동,포은대로,536,경기도 용인시 수지구 포은대로,경기도 용인시 수지구 포은대로 536,경기,용인시 수지구,죽전동
SC제일은행,234261,서울특별시,강남구,역삼동,언주로,337,서울특별시 강남구 언주로,서울특별시 강남구 언주로 337,서울,강남구,역삼동
SC제일은행,234274,서울특별시,서초구,서초동,반포대로,25,서울특별시 서초구 반포대로,서울특별시 서초구 반포대로 25,서울,서초구,서초동
SC제일은행,234290,서울특별시,서초구,서초동,반포대로,76,서울특별시 서초구 반포대로,서울특별시 서초구 반포대로 76,서울,서초구,서초동
SC제일은행,234313,서울특별시,서초구,서초동,서초대로,324,서울특별시 서초구 서초대로,서울특별시 서초구 서초대로 324,서울,서초구,서초동
SC제일은행,234326,서울특별시,강남구,신사동,선릉로,823,서울특별시 강남구 선릉로,서울특별시 강남구 선릉로 823,서울,강남구,신사동
SC제일은행,234371,서울특별시,강남구,역삼동,테헤란로,311,서울특별시 강남구 테헤란로,서울특별시 강남구 테헤란로 311,서울,강남구,역삼동
