,지점_start,지점_end,도로명주소_start,도로명주소_end,x,x_start,y,y_start,Distance
118,일산지점,제주지점,경기도 고양시 일산동구 중앙로 1201,제주특별자치도 제주시 신형로 51,126.776247,126.4806817,37.65375491,33.48237155,569.64
119,일산지점,마곡지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 강서구 공항대로 200,126.776247,126.8294731,37.65375491,37.55896253,16.74
120,일산지점,대구지점,경기도 고양시 일산동구 중앙로 1201,대구광역시 북구 호암로 51,126.776247,128.5959754,37.65375491,35.88368682,310.94
121,일산지점,하남지점,경기도 고양시 일산동구 중앙로 1201,경기도 하남시 미사강변 한강로 177,126.776247,127.1942687,37.65375491,37.57404418,52.64
122,일산지점,부천지점,경기도 고양시 일산동구 중앙로 1201,경기도 부천시 송내대로 88,126.776247,126.7550132,37.65375491,37.49115297,25.41
123,일산지점,해양산업금융실,경기도 고양시 일산동구 중앙로 1201,부산광역시 남구 문현금융로 40,126.776247,129.0658548,37.65375491,35.14649173,426.94
124,분당지점,강남지점,경기도 성남시 분당구 서현로 200,서울특별시 강남구 영동대로 508,127.1249586,127.0629669,37.38740829,37.51029826,18.84
125,분당지점,일산지점,경기도 성남시 분당구 서현로 200,경기도 고양시 일산동구 중앙로 1201,127.1249586,126.776247,37.38740829,37.65375491,52.23
126,분당지점,분당지점,경기도 성남시 분당구 서현로 200,경기도 성남시 분당구 서현로 200,127.1249586,127.1249586,37.38740829,37.38740829,0.0
127,분당지점,수원지점,경기도 성남시 분당구 서현로 200,경기도 수원시 팔달구 효원로 295,127.1249586,127.0340782,37.38740829,37.2614686,25.12
128,분당지점,시화지점,경기도 성남시 분당구 서현로 200,경기도 시흥시 정왕대로 188,127.1249586,126.7349813,37.38740829,37.34725425,41.11
129,분당지점,안산지점,경기도 성남시 분당구 서현로 200,경기도 안산시 단원구 광덕대로 271,127.1249586,126.8300167,37.38740829,37.32089633,35.17
130,분당지점,안양지점,경기도 성남시 분당구 서현로 200,경기도 안양시 동안구 부림로169번길 42,127.1249586,126.9611065,37.38740829,37.396727,17.84
131,분당지점,평택지점,경기도 성남시 분당구 서현로 200,경기도 평택시 평택5로20번길 39,127.1249586,127.1132285,37.38740829,36.98998898,53.57
132,분당지점,진주지점,경기도 성남시 분당구 서현로 200,경상남도 진주시 향교로 3,127.1249586,128.0832446,37.38740829,35.1978675,303.56
133,분당지점,창원지점,경기도 성남시 분당구 서현로 200,경상남도 창원시 성산구 상남로 25,127.1249586,128.6767165,37.38740829,35.21709182,344.04
134,분당지점,구미지점,경기도 성남시 분당구 서현로 200,경상북도 구미시 송정대로 107,127.1249586,128.3500013,37.38740829,36.11718533,224.92
