고객명,관리부점명,본사주소,"기업
공개",회계 감사의견,"기업
규모",기준연월,당행_기준년도,당행_직전년도,당행_직직전년도,기준년도,매출액_기준년도,매출액_직전년도,매출액_직직전년도,영업이익_기준년도,영업이익_직전년도,영업이익_직직전년도,당기순이익_기준년도,당기순이익_직전년도,당기순이익_직직전년도,depth_1,depth_2,depth_3,x,y
대호물류산업(주),포항지점,경북 경주시 외동읍 냉천리 1266-6번지,외감,적정,중소기업,202205,400 ,600 ,"1,000 ",2021,"33,729 ","29,649 ","32,132 ","2,267 ","1,935 ","2,194 ","1,612 ","1,583 ","1,675 ",경북,경주시,외동읍 냉천리,129.287336022042,35.7077003283989
(주)성호금속,포항지점,경북 영천시 언하공단2길 25,외감,적정,대기업,202205,"2,963 ","2,974 ","2,916 ",2021,"40,310 ","39,023 ","45,851 ",-904 ,935 ,434 ,"-1,160 ",339 ,324 ,경북,영천시,신기동,128.957706115106,35.9887604329818
(주)세운아이엔티,포항지점,경북 영천시 대창면 한제길 20,외감,적정,중소기업,202205,"1,000 ","1,000 ","1,000 ",2021,"20,991 ","22,947 ","25,945 ",298 ,445 ,585 ,54 ,330 ,216 ,경북,영천시,대창면 사리리,128.873442895843,35.878013856078
티지에스파이프(주),포항지점,서울 강남구 테헤란로8길 37,외감,적정,중소기업,202205,"7,175 ","5,447 ","6,383 ",2021,"70,096 ","44,881 ","48,603 ","1,654 ",99 ,"1,183 ","1,085 ",-683 ,759 ,서울,강남구,역삼동,127.032452068994,37.4965676325056
세웅플랜트(주),포항지점,"서울 성동구 성수2가1동 308-4번지 코오롱디지털타워1차 1001호 ,1002호,1003호,1004호",외감,적정,중소기업,202205,"2,000 ","2,000 ","2,000 ",2021,"29,843 ","32,759 ","40,200 ","2,103 ","2,361 ","3,763 ","2,082 ","2,516 ","3,132 ",서울,성동구,성수동2가,127.051956987054,37.5425753399197
(주)한중,포항지점,경북 포항시 남구 괴동로 231,외감,적정,중소기업,202205,"3,000 ","2,000 ","2,000 ",2021,"51,204 ","48,921 ","51,304 ","2,650 ","2,152 ","2,837 ","2,987 ","1,976 ","2,151 ",경북,포항시 남구,괴동동,129.379488397678,35.9978585470209
엠에스파이프(주),포항지점,경북 포항시 남구 오천읍 송덕로212번길 65,외감,적정,중소기업,202205,"4,000 ","4,000 ","4,000 ",2021,"67,883 ","41,452 ","44,468 ","3,659 ",-496 ,648 ,"2,317 ","-1,231 ","1,203 ",경북,포항시 남구,오천읍 문덕리,129.386881158655,35.9485740248112
(주)에스앤비인터내셔널,포항지점,경북 청도군 각남면 한재로 1346,외감,적정,중소기업,202205,"6,950 ","6,950 ","6,950 ",2021,"94,607 ","74,431 ","77,526 ","6,039 ","3,676 ","3,561 ","4,857 ","2,433 ","2,505 ",경북,청도군,각남면 사리,128.646927898291,35.6272583534867
(주)포원,포항지점,경북 포항시 남구 포스코대로 437,외감,적정,중소기업,202205,"1,000 ","1,000 ","1,000 ",2021,"31,969 ","31,187 ","32,959 ",113 ,213 ,520 ,191 ,192 ,476 ,경북,포항시 남구,해도동,129.370041327051,36.0133914689002
국제희토류금속(주),포항지점,경북 경주시 강동면 왕신리 1225-11번지,외감,적정,중소기업,202205,"8,706 ","8,993 ","8,470 ",2021,"10,745 ","14,643 ","17,616 ",-270 ,"-1,429 ","1,233 ",-719 ,"-1,460 ",447 ,경북,경주시,강동면 왕신리,129.285850442931,35.9567870138894
